날짜,노선번호,역/정류장명,승차인원,하차인원,교통수단
20230901,101번(화계사~동대문),,288.0,18.0,버스
20230901,101번(화계사~동대문),,397.0,62.0,버스
20230901,101번(화계사~동대문),,570.0,103.0,버스
20230901,101번(화계사~동대문),,112.0,641.0,버스
20230901,101번(화계사~동대문),,53.0,199.0,버스
20230901,101번(화계사~동대문),,36.0,251.0,버스
20230901,101번(화계사~동대문),,48.0,262.0,버스
20230901,101번(화계사~동대문),,126.0,196.0,버스
20230901,101번(화계사~동대문),,175.0,255.0,버스
20230901,101번(화계사~동대문),,246.0,347.0,버스
20230901,101번(화계사~동대문),,176.0,215.0,버스
20230901,101번(화계사~동대문),,149.0,150.0,버스
20230901,101번(화계사~동대문),,465.0,584.0,버스
20230901,101번(화계사~동대문),,42.0,244.0,버스
20230901,101번(화계사~동대문),,109.0,258.0,버스
20230901,101번(화계사~동대문),,264.0,109.0,버스
20230901,101번(화계사~동대문),,521.0,55.0,버스
20230901,101번(화계사~동대문),,231.0,142.0,버스
20230901,101번(화계사~동대문),,300.0,222.0,버스
20230901,101번(화계사~동대문),,207.0,165.0,버스
20230901,101번(화계사~동대문),,155.0,192.0,버스
20230901,101번(화계사~동대문),,370.0,486.0,버스
20230901,101번(화계사~동대문),,61.0,157.0,버스
20230901,101번(화계사~동대문),,344.0,164.0,버스
20230901,101번(화계사~동대문),,447.0,81.0,버스
20230901,101번(화계사~동대문),,370.0,69.0,버스
20230901,101번(화계사~동대문),,395.0,69.0,버스
20230901,101번(화계사~동대문),,176.0,37.0,버스
20230901,101번(화계사~동대문),,272.0,148.0,버스
20230901,101번(화계사~동대문),,362.0,98.0,버스
20230901,101번(화계사~동대문),,367.0,177.0,버스
20230901,101번(화계사~동대문),,119.0,304.0,버스
20230901,101번(화계사~동대문),,128.0,249.0,버스
20230901,101번(화계사~동대문),,34.0,215.0,버스
20230901,101번(화계사~동대문),,63.0,300.0,버스
20230901,101번(화계사~동대문),,81.0,272.0,버스
20230901,101번(화계사~동대문),,104.0,366.0,버스
20230901,101번(화계사~동대문),,64.0,324.0,버스
20230901,101번(화계사~동대문),,84.0,20.0,버스
20230901,101번(화계사~동대문),,16.0,164.0,버스
20230901,101번(화계사~동대문),,298.0,108.0,버스
20230901,102번(상계동~동대문),,77.0,191.0,버스
20230901,102번(상계동~동대문),,46.0,144.0,버스
20230901,102번(상계동~동대문),,259.0,94.0,버스
20230901,102번(상계동~동대문),,600.0,16.0,버스
20230901,102번(상계동~동대문),,128.0,3.0,버스
20230901,102번(상계동~동대문),,1.0,90.0,버스
20230901,102번(상계동~동대문),,153.0,143.0,버스
20230901,102번(상계동~동대문),,95.0,219.0,버스
20230901,102번(상계동~동대문),,52.0,199.0,버스
20230901,102번(상계동~동대문),,296.0,104.0,버스
20230901,102번(상계동~동대문),,444.0,92.0,버스
20230901,102번(상계동~동대문),,422.0,62.0,버스
20230901,102번(상계동~동대문),,128.0,265.0,버스
20230901,102번(상계동~동대문),,113.0,210.0,버스
20230901,102번(상계동~동대문),,50.0,342.0,버스
20230901,102번(상계동~동대문),,99.0,203.0,버스
20230901,102번(상계동~동대문),,127.0,218.0,버스
20230901,102번(상계동~동대문),,223.0,160.0,버스
20230901,102번(상계동~동대문),,113.0,187.0,버스
20230901,102번(상계동~동대문),,89.0,273.0,버스
20230901,102번(상계동~동대문),,416.0,139.0,버스
20230901,102번(상계동~동대문),,212.0,134.0,버스
20230901,102번(상계동~동대문),,191.0,34.0,버스
20230901,102번(상계동~동대문),,175.0,41.0,버스
20230901,102번(상계동~동대문),,203.0,27.0,버스
20230901,102번(상계동~동대문),,188.0,510.0,버스
20230901,102번(상계동~동대문),,164.0,117.0,버스
20230901,102번(상계동~동대문),,292.0,142.0,버스
20230901,102번(상계동~동대문),,472.0,163.0,버스
20230901,102번(상계동~동대문),,322.0,165.0,버스
20230901,102번(상계동~동대문),,273.0,251.0,버스
20230901,102번(상계동~동대문),,287.0,292.0,버스
20230901,102번(상계동~동대문),,159.0,419.0,버스
20230901,102번(상계동~동대문),,18.0,164.0,버스
20230901,102번(상계동~동대문),,1014.0,92.0,버스
20230901,102번(상계동~동대문),,354.0,170.0,버스
20230901,102번(상계동~동대문),,55.0,188.0,버스
20230901,102번(상계동~동대문),,212.0,389.0,버스
20230901,102번(상계동~동대문),,349.0,412.0,버스
20230901,102번(상계동~동대문),,364.0,155.0,버스
20230901,102번(상계동~동대문),,147.0,169.0,버스
20230901,102번(상계동~동대문),,310.0,147.0,버스
20230901,102번(상계동~동대문),,103.0,205.0,버스
20230901,102번(상계동~동대문),,78.0,474.0,버스
20230901,102번(상계동~동대문),,291.0,209.0,버스
20230901,102번(상계동~동대문),,97.0,186.0,버스
20230901,102번(상계동~동대문),,141.0,168.0,버스
20230901,102번(상계동~동대문),,226.0,213.0,버스
20230901,102번(상계동~동대문),,319.0,446.0,버스
20230901,102번(상계동~동대문),,317.0,151.0,버스
20230901,102번(상계동~동대문),,326.0,106.0,버스
20230901,102번(상계동~동대문),,252.0,171.0,버스
20230901,102번(상계동~동대문),,146.0,1324.0,버스
20230901,102번(상계동~동대문),,365.0,318.0,버스
20230901,102번(상계동~동대문),,351.0,354.0,버스
20230901,102번(상계동~동대문),,37.0,0.0,버스
20230901,102번(상계동~동대문),,519.0,267.0,버스
20230901,102번(상계동~동대문),,7.0,518.0,버스
20230901,102번(상계동~동대문),,180.0,126.0,버스
20230901,102번(상계동~동대문),,6.0,2.0,버스
20230901,102번(상계동~동대문),,215.0,462.0,버스
20230901,102번(상계동~동대문),,155.0,261.0,버스
20230901,102번(상계동~동대문),,218.0,314.0,버스
20230901,102번(상계동~동대문),,320.0,55.0,버스
20230901,102번(상계동~동대문),,63.0,9.0,버스
20230901,102번(상계동~동대문),,42.0,169.0,버스
20230901,102번(상계동~동대문),,18.0,107.0,버스
20230901,102번(상계동~동대문),,61.0,119.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,156.0,204.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,124.0,368.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,204.0,330.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,0.0,269.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,304.0,0.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,119.0,8.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,3.0,153.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,178.0,287.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,124.0,199.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,322.0,257.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,395.0,430.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,1.0,0.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,182.0,243.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,158.0,360.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,601.0,288.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,217.0,148.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,162.0,138.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,295.0,38.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,272.0,57.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,147.0,87.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,296.0,92.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,216.0,139.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,126.0,48.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,139.0,83.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,346.0,212.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,259.0,145.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,392.0,104.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,195.0,97.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,178.0,401.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,254.0,100.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,205.0,101.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,204.0,82.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,211.0,108.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,221.0,144.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,284.0,92.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,265.0,298.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,72.0,356.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,185.0,294.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,65.0,86.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,45.0,101.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,159.0,188.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,98.0,234.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,46.0,147.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,41.0,136.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,45.0,132.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,82.0,174.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,0.0,2.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,48.0,206.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,290.0,76.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,141.0,331.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,154.0,35.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,79.0,402.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,200.0,308.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,0.0,146.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,100.0,0.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,319.0,131.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,84.0,275.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,96.0,148.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,284.0,72.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,95.0,287.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,147.0,156.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,219.0,54.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,58.0,263.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,54.0,48.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,103.0,75.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,254.0,197.0,버스
20230901,104번(강북청소년수련관난나~숭례문),,265.0,113.0,버스
20230901,105번(상계동~서울역),,49.0,158.0,버스
20230901,105번(상계동~서울역),,58.0,83.0,버스
20230901,105번(상계동~서울역),,210.0,34.0,버스
20230901,105번(상계동~서울역),,239.0,34.0,버스
20230901,105번(상계동~서울역),,124.0,39.0,버스
20230901,105번(상계동~서울역),,116.0,51.0,버스
20230901,105번(상계동~서울역),,140.0,95.0,버스
20230901,105번(상계동~서울역),,128.0,126.0,버스
20230901,105번(상계동~서울역),,257.0,11.0,버스
